timestamp,p_in_sp,q_in_sp,q_in_up,q_in_dn,q_in_63,q_in_90,p_actual_hv,q_actual_hv
0.001,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.105,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.208,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.308,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.414,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.52,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.622,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.724,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.832,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
0.935,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.043,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.145,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.368,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.473,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.578,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.679,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.82,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1.924,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2.033,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2.142,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2.247,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2.351,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.455,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.561,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.667,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.771,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.875,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
2.985,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.09,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.194,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.296,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.397,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.498,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.602,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.71,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.811,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
3.918,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.03,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.136,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.242,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.344,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.447,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.557,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.661,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.766,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.874,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
4.976,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.087,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.2,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.305,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.418,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.526,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.628,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.733,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.84,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
5.949,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.07,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.174,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.284,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.392,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.498,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.602,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.712,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.832,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
6.94,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.045,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.157,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.268,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.376,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.478,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.581,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.686,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.789,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
7.894,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
8.001,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
8.103,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
8.211,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.0
8.321,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.424,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.53,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.634,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.738,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.843,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
8.949,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.055,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.158,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.262,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.365,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.467,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.569,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.676,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.777,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.879,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
9.991,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0
10.103,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,0.0
10.217,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,0.0
10.323,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,0.0
10.428,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,0.0
10.537,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.058
10.64,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.751,-0.09
10.742,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.101
10.845,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.137
10.946,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.157
11.055,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.157
11.163,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.243
11.276,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.255
11.392,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.254
11.502,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.242
11.607,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.2
11.714,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.193
11.823,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.166
11.928,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.169
12.033,0.75,-0.171,-0.18,-0.163,-0.107,-0.154,0.751,-0.169
12.135,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.149
12.24,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.15
12.342,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.151
12.453,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.151
12.566,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.155
12.669,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.163
12.775,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.174
12.883,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.181
12.991,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.183
13.098,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.183
13.201,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.185
13.302,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.181
13.406,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.176
13.508,0.75,-0.171,-0.18,-0.163,-0.106,-0.154,0.751,-0.177
13.619,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.174
13.722,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.169
13.826,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.164
13.93,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.164
14.035,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.163
14.141,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.163
14.25,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.166
14.361,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.168
14.47,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.169
14.578,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.169
14.682,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.173
14.789,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.174
14.894,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.174
14.997,0.75,-0.171,-0.18,-0.162,-0.106,-0.154,0.75,-0.174
15.103,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.174
15.206,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.174
15.31,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.173
15.411,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
15.517,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.17
15.64,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.169
15.742,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.169
15.853,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.169
15.957,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.169
16.064,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.169
16.167,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.17
16.27,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.17
16.378,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
16.491,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
16.597,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
16.703,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
16.807,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
16.911,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
17.027,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
17.137,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
17.245,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.172
17.349,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
17.454,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
17.559,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.171
17.675,0.75,-0.171,-0.179,-0.162,-0.106,-0.154,0.75,-0.17
